team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
3,1-fc-koln,2020,FC Colonia,50000,41825,,,57,,,,,Kölner Sportstätten GmbH,,RheinEnergieSTADION,,,"119,50 mill. €",Césped natural,,https://www.transfermarkt.es/1-fc-koln/stadion/verein/3/saison_id/2020,,,,,,,,,
10,arminia-bielefeld,2020,Arminia Bielefeld,26750,18703,,,20,,,,,Bündnis Alm GmbH,,SchücoArena,,,"30,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/arminia-bielefeld/stadion/verein/10/saison_id/2020,,,,,,,,,
15,bayer-04-leverkusen,2020,Bayer 04 Leverkusen,30210,25710,,,26,,,,,Bayer 04 Immobilien GmbH,,BayArena,,,"70,00 mill. €",Césped natural,,https://www.transfermarkt.es/bayer-04-leverkusen/stadion/verein/15/saison_id/2020,,,,,,,,,
16,borussia-dortmund,2020,Borussia Dortmund,81365,53028,,,18,,,,,Westfalenstadion Dortmund GmbH & Co. KG,,SIGNAL IDUNA PARK,,,"45,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/borussia-dortmund/stadion/verein/16/saison_id/2020,,,,,,,,,
18,borussia-monchengladbach,2020,Borussia Mönchengladbach,54042,37869,,,45,,,,,Borussia VfL 1900 Mönchengladbach GmbH,,Stadion im Borussia-Park,,,"84,00 mill. €",Césped natural,,https://www.transfermarkt.es/borussia-monchengladbach/stadion/verein/18/saison_id/2020,,,,,,,,,
24,eintracht-frankfurt,2020,Eintracht Fráncfort​​,59500,39500,,,83,,,,,Stadt Frankfurt - Tochtergesellschaft WFGP,,Deutsche Bank Park,,,"126,00 mill. €",Césped natural,,https://www.transfermarkt.es/eintracht-frankfurt/stadion/verein/24/saison_id/2020,,,,,,,,,
27,fc-bayern-munchen,2020,Bayern Múnich,75000,59230,,,106,,,,,FC Bayern München,,Allianz Arena,,,"365,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/fc-bayern-munchen/stadion/verein/27/saison_id/2020,,,,,,,,,
33,fc-schalke-04,2020,FC Schalke 04,62278,45962,,,81,,,,,FC Schalke 04,,Veltins-Arena,,,"191,00 mill. €",Césped natural,,https://www.transfermarkt.es/fc-schalke-04/stadion/verein/33/saison_id/2020,,,,,,,,,
39,1-fsv-mainz-05,2020,1.FSV Mainz 05,33305,20000,,,35,,,,,GVG mbH,,Mewa Arena,,,"65,00 mill. €",Césped natural,,https://www.transfermarkt.es/1-fsv-mainz-05/stadion/verein/39/saison_id/2020,,,,,,,,,
44,hertha-bsc,2020,Hertha Berlín,74667,74649,,,59,,,,,Land Berlin,,Olympiastadion Berlin,,,"242,00 mill. €",Césped natural,,https://www.transfermarkt.es/hertha-bsc/stadion/verein/44/saison_id/2020,,,,,,,,,
60,sc-freiburg,2020,SC Friburgo,34700,22300,,,20,,,,,Stadion Freiburg Objektträger GmbH & Co. KG (SFG),,Europa-Park Stadion,,,,Césped natural,,https://www.transfermarkt.es/sc-freiburg/stadion/verein/60/saison_id/2020,,,,,,,,,
79,vfb-stuttgart,2020,VfB Stuttgart,60449,49224,,,66,,,,,Stadion NeckarPark GmbH & Co.KG,,MHPArena Stuttgart,,,,Césped natural,,https://www.transfermarkt.es/vfb-stuttgart/stadion/verein/79/saison_id/2020,,,,,,,,,
82,vfl-wolfsburg,2020,VfL Wolfsburgo,28917,20917,,,31,,,,,Wolfsburg AG,,Volkswagen Arena,,,"53,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/vfl-wolfsburg/stadion/verein/82/saison_id/2020,,,,,,,,,
86,sv-werder-bremen,2020,SV Werder Bremen,41800,31500,,,14,,,,,Bremer Weser-Stadion GmbH,,Weserstadion,,,,Césped híbrido,,https://www.transfermarkt.es/sv-werder-bremen/stadion/verein/86/saison_id/2020,,,,,,,,,
89,1-fc-union-berlin,2020,1.FC Unión Berlín,22012,3617,,,27,,,,,1.FC Union Berlin,,Stadion An der Alten Försterei,,,"17,00 mill. €",Césped natural,,https://www.transfermarkt.es/1-fc-union-berlin/stadion/verein/89/saison_id/2020,,,,,,,,,
167,fc-augsburg,2020,FC Augsburgo,30660,19626,,,48,,,,,FC Augsburg Besitz- und Betriebsgesellschaft mbH,,WWK ARENA,,,"45,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/fc-augsburg/stadion/verein/167/saison_id/2020,,,,,,,,,
533,tsg-1899-hoffenheim,2020,TSG 1899 Hoffenheim,30150,23400,,,40,,,,,DH Besitzgesellschaft mbH & Co. KG,,PreZero Arena,,,"60,00 mill. €",Césped natural,,https://www.transfermarkt.es/tsg-1899-hoffenheim/stadion/verein/533/saison_id/2020,,,,,,,,,
23826,rasenballsport-leipzig,2020,RB Leipzig,47069,32908,,,18,,,,,ZSL Betreibergesellschaft mbH,,Red Bull Arena,,,"90,00 mill. €",Césped natural,,https://www.transfermarkt.es/rasenballsport-leipzig/stadion/verein/23826/saison_id/2020,,,,,,,,,
