player_id,player_slug,player_name,position,nationality,team,season
74857,marc-andre-ter-stegen,Marc-André ter Stegen,Portero,Alemania,fc-barcelona,2020
111819,neto,Neto,Portero,Brasil,fc-barcelona,2020
283170,inaki-pena,Iñaki Peña,Portero,España,fc-barcelona,2020
466783,arnau-tenas,Arnau Tenas,Portero,España,fc-barcelona,2020
480267,ronald-araujo,Ronald Araujo,Defensa central,Uruguay,fc-barcelona,2020
182904,clement-lenglet,Clément Lenglet,Defensa central,Francia,fc-barcelona,2020
18944,gerard-pique,Gerard Piqué,Defensa central,España,fc-barcelona,2020
126540,samuel-umtiti,Samuel Umtiti,Defensa central,Francia,fc-barcelona,2020
688593,santiago-ramos-mingo,Santiago Ramos Mingo,Defensa central,Argentina,fc-barcelona,2020
69751,jordi-alba,Jordi Alba,Lateral izquierdo,España,fc-barcelona,2020
374139,junior-firpo,Junior Firpo,Lateral izquierdo,República Dominicana,fc-barcelona,2020
361104,sergino-dest,Sergiño Dest,Lateral derecho,Estados Unidos,fc-barcelona,2020
331505,oscar-mingueza,Óscar Mingueza,Lateral derecho,España,fc-barcelona,2020
65230,sergio-busquets,Sergio Busquets,Pivote,España,fc-barcelona,2020
351892,matheus-fernandes,Matheus Fernandes,Pivote,Brasil,fc-barcelona,2020
326330,frenkie-de-jong,Frenkie de Jong,Mediocentro,Países Bajos,fc-barcelona,2020
683840,pedri,Pedri,Mediocentro,España,fc-barcelona,2020
617074,ilaix-moriba,Ilaix Moriba,Mediocentro,Guinea,fc-barcelona,2020
44162,miralem-pjanic,Miralem Pjanić,Mediocentro,Bosnia y Herzegovina,fc-barcelona,2020
331511,riqui-puig,Riqui Puig,Mediocentro,España,fc-barcelona,2020
85370,sergi-roberto,Sergi Roberto,Mediocentro,España,fc-barcelona,2020
284854,carles-alena,Carles Aleñá,Mediocentro,España,fc-barcelona,2020
80444,philippe-coutinho,Philippe Coutinho,Mediocentro ofensivo,Brasil,fc-barcelona,2020
412669,francisco-trincao,Francisco Trincão,Mediocentro ofensivo,Portugal,fc-barcelona,2020
129473,rafinha,Rafinha,Mediocentro ofensivo,Brasil,fc-barcelona,2020
282722,alex-collado,Álex Collado,Mediocentro ofensivo,España,fc-barcelona,2020
466810,ansu-fati,Ansu Fati,Extremo izquierdo,España,fc-barcelona,2020
466809,konrad-de-la-fuente,Konrad de la Fuente,Extremo izquierdo,Estados Unidos,fc-barcelona,2020
28003,lionel-messi,Lionel Messi,Extremo derecho,Argentina,fc-barcelona,2020
125781,antoine-griezmann,Antoine Griezmann,Mediapunta,Francia,fc-barcelona,2020
288230,ousmane-dembele,Ousmane Dembélé,Delantero centro,Francia,fc-barcelona,2020
95732,martin-braithwaite,Martin Braithwaite,Delantero centro,Dinamarca,fc-barcelona,2020
108390,thibaut-courtois,Thibaut Courtois,Portero,Bélgica,real-madrid,2020
404839,andriy-lunin,Andriy Lunin,Portero,Ucrania,real-madrid,2020
549069,diego-altube,Diego Altube,Portero,España,real-madrid,2020
623525,luis-lopez,Luis López,Portero,España,real-madrid,2020
568154,lucas-canizares,Lucas Cañizares,Portero,España,real-madrid,2020
164770,raphael-varane,Raphaël Varane,Defensa central,Francia,real-madrid,2020
401530,eder-militao,Éder Militão,Defensa central,Brasil,real-madrid,2020
25557,sergio-ramos,Sergio Ramos,Defensa central,España,real-madrid,2020
58884,nacho-fernandez,Nacho Fernández,Defensa central,España,real-madrid,2020
495625,victor-chust,Víctor Chust,Defensa central,España,real-madrid,2020
629511,pablo-ramon,Pablo Ramón,Defensa central,España,real-madrid,2020
291417,ferland-mendy,Ferland Mendy,Lateral izquierdo,Francia,real-madrid,2020
44501,marcelo,Marcelo,Lateral izquierdo,Brasil,real-madrid,2020
525299,miguel-gutierrez,Miguel Gutiérrez,Lateral izquierdo,España,real-madrid,2020
138927,daniel-carvajal,Daniel Carvajal,Lateral derecho,España,real-madrid,2020
221316,lucas-vazquez,Lucas Vázquez,Lateral derecho,España,real-madrid,2020
280730,alvaro-odriozola,Álvaro Odriozola,Lateral derecho,España,real-madrid,2020
603940,marvin-park,Marvin Park,Lateral derecho,España,real-madrid,2020
537759,sergio-santos,Sergio Santos,Lateral derecho,España,real-madrid,2020
16306,casemiro,Casemiro,Pivote,Brasil,real-madrid,2020
495621,antonio-blanco,Antonio Blanco,Pivote,España,real-madrid,2020
369081,federico-valverde,Federico Valverde,Mediocentro,Uruguay,real-madrid,2020
31909,toni-kroos,Toni Kroos,Mediocentro,Alemania,real-madrid,2020
27992,luka-modric,Luka Modrić,Mediocentro,Croacia,real-madrid,2020
316264,martin-odegaard,Martin Ødegaard,Mediocentro ofensivo,Noruega,real-madrid,2020
296622,marco-asensio,Marco Asensio,Mediocentro ofensivo,España,real-madrid,2020
85288,isco,Isco,Mediocentro ofensivo,España,real-madrid,2020
537762,sergio-arribas,Sergio Arribas,Mediocentro ofensivo,España,real-madrid,2020
50202,eden-hazard,Eden Hazard,Extremo izquierdo,Bélgica,real-madrid,2020
371998,vinicius-junior,Vinicius Junior,Extremo izquierdo,Brasil,real-madrid,2020
652332,oscar-aranda,Óscar Aranda,Extremo izquierdo,España,real-madrid,2020
412363,rodrygo,Rodrygo,Extremo derecho,Brasil,real-madrid,2020
18922,karim-benzema,Karim Benzema,Delantero centro,Francia,real-madrid,2020
257462,luka-jovic,Luka Jović,Delantero centro,Serbia,real-madrid,2020
298976,borja-mayoral,Borja Mayoral,Delantero centro,España,real-madrid,2020
225020,mariano-diaz,Mariano Díaz,Delantero centro,República Dominicana,real-madrid,2020
573775,hugo-duro,Hugo Duro,Delantero centro,España,real-madrid,2020
121483,jan-oblak,Jan Oblak,Portero,Eslovenia,atletico-madrid,2020
226073,ivo-grbic,Ivo Grbic,Portero,Croacia,atletico-madrid,2020
396337,miguel-san-roman,Miguel San Román,Portero,España,atletico-madrid,2020
250845,jose-maria-gimenez,José María Giménez,Defensa central,Uruguay,atletico-madrid,2020
281769,mario-hermoso,Mario Hermoso,Defensa central,España,atletico-madrid,2020
107010,stefan-savic,Stefan Savic,Defensa central,Montenegro,atletico-madrid,2020
156501,felipe,Felipe,Defensa central,Brasil,atletico-madrid,2020
491693,nehuen-perez,Nehuén Pérez,Defensa central,Argentina,atletico-madrid,2020
495600,alvaro-garcia,Álvaro García,Defensa central,España,atletico-madrid,2020
476352,renan-lodi,Renan Lodi,Lateral izquierdo,Brasil,atletico-madrid,2020
618809,manu-sanchez,Manu Sánchez,Lateral izquierdo,España,atletico-madrid,2020
446106,juan-manuel-sanabria,Juan Manuel Sanabria,Lateral izquierdo,Uruguay,atletico-madrid,2020
708388,adrian-corral,Adrián Corral,Lateral izquierdo,España,atletico-madrid,2020
282411,marcos-llorente,Marcos Llorente,Lateral derecho,España,atletico-madrid,2020
95810,kieran-trippier,Kieran Trippier,Lateral derecho,Inglaterra,atletico-madrid,2020
76061,sime-vrsaljko,Sime Vrsaljko,Lateral derecho,Croacia,atletico-madrid,2020
388545,ricard-sanchez,Ricard Sánchez,Lateral derecho,España,atletico-madrid,2020
230784,thomas-partey,Thomas Partey,Pivote,Ghana,atletico-madrid,2020
318077,lucas-torreira,Lucas Torreira,Pivote,Uruguay,atletico-madrid,2020
127189,geoffrey-kondogbia,Geoffrey Kondogbia,Pivote,República Centroafricana,atletico-madrid,2020
74229,koke,Koke,Mediocentro,España,atletico-madrid,2020
148928,saul-niguez,Saúl Ñíguez,Mediocentro,España,atletico-madrid,2020
122043,hector-herrera,Héctor Herrera,Mediocentro,México,atletico-madrid,2020
295065,toni-moya,Toni Moya,Mediocentro,España,atletico-madrid,2020
408472,josep-calavera,Josep Calavera,Mediocentro,España,atletico-madrid,2020
536823,oscar-castro,Óscar Castro,Mediocentro,España,atletico-madrid,2020
205562,thomas-lemar,Thomas Lemar,Mediocentro ofensivo,Francia,atletico-madrid,2020
568148,mario-soriano,Mario Soriano,Mediocentro ofensivo,España,atletico-madrid,2020
140776,yannick-carrasco,Yannick Carrasco,Extremo izquierdo,Bélgica,atletico-madrid,2020
67082,vitolo,Vitolo,Extremo izquierdo,España,atletico-madrid,2020
548188,german-valera,Germán Valera,Extremo izquierdo,España,atletico-madrid,2020
505673,victor-mollejo,Víctor Mollejo,Extremo derecho,España,atletico-madrid,2020
462250,joao-felix,João Félix,Mediapunta,Portugal,atletico-madrid,2020
266807,angel-correa,Ángel Correa,Mediapunta,Argentina,atletico-madrid,2020
229004,moussa-dembele,Moussa Dembélé,Delantero centro,Francia,atletico-madrid,2020
44352,luis-suarez,Luis Suárez,Delantero centro,Uruguay,atletico-madrid,2020
44779,diego-costa,Diego Costa,Delantero centro,España,atletico-madrid,2020
505674,sergio-camello,Sergio Camello,Delantero centro,España,atletico-madrid,2020
274347,ivan-saponjic,Ivan Saponjic,Delantero centro,Serbia,atletico-madrid,2020
207834,yassine-bounou,Yassine Bounou,Portero,Marruecos,fc-sevilla,2020
64000,tomas-vaclik,Tomáš Vaclík,Portero,República Checa,fc-sevilla,2020
396107,javi-diaz,Javi Díaz,Portero,España,fc-sevilla,2020
537367,alfonso-pastor,Alfonso Pastor,Portero,España,fc-sevilla,2020
537369,adrian-gonzalez,Adrián González,Portero,España,fc-sevilla,2020
329145,diego-carlos,Diego Carlos,Defensa central,Brasil,fc-sevilla,2020
92947,sergi-gomez,Sergi Gómez,Defensa central,España,fc-sevilla,2020
182579,karim-rekik,Karim Rekik,Defensa central,Países Bajos,fc-sevilla,2020
378954,joris-gnagnon,Joris Gnagnon,Defensa central,Francia,fc-sevilla,2020
398435,kike-rios,Kike Ríos,Defensa central,España,fc-sevilla,2020
60410,marcos-acuna,Marcos Acuña,Lateral izquierdo,Argentina,fc-sevilla,2020
93935,sergio-escudero,Sergio Escudero,Lateral izquierdo,España,fc-sevilla,2020
461866,javi-vazquez,Javi Vázquez,Lateral izquierdo,España,fc-sevilla,2020
711628,pablo-perez,Pablo Pérez,Lateral izquierdo,España,fc-sevilla,2020
411975,jules-kounde,Jules Koundé,Lateral derecho,Francia,fc-sevilla,2020
676042,juanlu-sanchez,Juanlu Sánchez,Lateral derecho,España,fc-sevilla,2020
74294,nemanja-gudelj,Nemanja Gudelj,Pivote,Serbia,fc-sevilla,2020
51174,fernando,Fernando,Pivote,Brasil,fc-sevilla,2020
263727,joan-jordan,Joan Jordán,Mediocentro,España,fc-sevilla,2020
214775,oliver-torres,Óliver Torres,Mediocentro,España,fc-sevilla,2020
32467,ivan-rakitic,Ivan Rakitic,Mediocentro,Croacia,fc-sevilla,2020
15956,jesus-navas,Jesús Navas,Interior derecho,España,fc-sevilla,2020
111961,suso,Suso,Mediocentro ofensivo,España,fc-sevilla,2020
284884,oscar-rodriguez,Óscar Rodríguez,Mediocentro ofensivo,España,fc-sevilla,2020
223725,munir-el-haddadi,Munir El Haddadi,Mediocentro ofensivo,Marruecos,fc-sevilla,2020
76163,franco-vazquez,Franco Vázquez,Mediocentro ofensivo,Argentina,fc-sevilla,2020
668179,carlos-alvarez,Carlos Álvarez,Mediocentro ofensivo,España,fc-sevilla,2020
189441,lucas-ocampos,Lucas Ocampos,Extremo izquierdo,Argentina,fc-sevilla,2020
537382,bryan-gil,Bryan Gil,Extremo izquierdo,España,fc-sevilla,2020
20005,papu-gomez,Papu Gómez,Extremo izquierdo,Argentina,fc-sevilla,2020
241391,oussama-idrissi,Oussama Idrissi,Extremo izquierdo,Marruecos,fc-sevilla,2020
341272,alex-pozo,Álex Pozo,Extremo derecho,España,fc-sevilla,2020
88490,aleix-vidal,Aleix Vidal,Extremo derecho,España,fc-sevilla,2020
587562,antonio-zarzana,Antonio Zarzana,Extremo derecho,España,fc-sevilla,2020
433049,youssef-en-nesyri,Youssef En-Nesyri,Delantero centro,Marruecos,fc-sevilla,2020
72522,luuk-de-jong,Luuk de Jong,Delantero centro,Países Bajos,fc-sevilla,2020
216464,carlos-fernandez,Carlos Fernández,Delantero centro,España,fc-sevilla,2020
628886,ivan-romero,Iván Romero,Delantero centro,España,fc-sevilla,2020
212862,alex-remiro,Álex Remiro,Portero,España,real-sociedad-san-sebastian,2020
26065,miguel-angel-moya,Miguel Ángel Moyá,Portero,España,real-sociedad-san-sebastian,2020
428948,andoni-zubiaurre,Andoni Zubiaurre,Portero,España,real-sociedad-san-sebastian,2020
561702,gaizka-ayesa,Gaizka Ayesa,Portero,España,real-sociedad-san-sebastian,2020
625657,unai-marrero,Unai Marrero,Portero,España,real-sociedad-san-sebastian,2020
351809,robin-le-normand,Robin Le Normand,Defensa central,España,real-sociedad-san-sebastian,2020
246291,diego-llorente,Diego Llorente,Defensa central,España,real-sociedad-san-sebastian,2020
355628,igor-zubeldia,Igor Zubeldia,Defensa central,España,real-sociedad-san-sebastian,2020
229804,aritz-elustondo,Aritz Elustondo,Defensa central,España,real-sociedad-san-sebastian,2020
524925,modibo-sagnan,Modibo Sagnan,Defensa central,Malí,real-sociedad-san-sebastian,2020
580560,jon-pacheco,Jon Pacheco,Defensa central,España,real-sociedad-san-sebastian,2020
517845,jeremy-blasco,Jérémy Blasco,Defensa central,Francia,real-sociedad-san-sebastian,2020
434602,aritz-arambarri,Aritz Arambarri,Defensa central,España,real-sociedad-san-sebastian,2020
517842,aihen-munoz,Aihen Muñoz,Lateral izquierdo,España,real-sociedad-san-sebastian,2020
43003,nacho-monreal,Nacho Monreal,Lateral izquierdo,España,real-sociedad-san-sebastian,2020
289255,andoni-gorosabel,Andoni Gorosabel,Lateral derecho,España,real-sociedad-san-sebastian,2020
197135,joseba-zaldua,Joseba Zaldua,Lateral derecho,España,real-sociedad-san-sebastian,2020
423440,martin-zubimendi,Martín Zubimendi,Pivote,España,real-sociedad-san-sebastian,2020
59344,asier-illarramendi,Asier Illarramendi,Pivote,España,real-sociedad-san-sebastian,2020
625651,urko-gonzalez-de-zarate,Urko González de Zárate,Pivote,España,real-sociedad-san-sebastian,2020
338424,mikel-merino,Mikel Merino,Mediocentro,España,real-sociedad-san-sebastian,2020
465967,ander-guevara,Ander Guevara,Mediocentro,España,real-sociedad-san-sebastian,2020
289257,jon-guridi,Jon Guridi,Mediocentro,España,real-sociedad-san-sebastian,2020
289286,luca-sangalli,Luca Sangalli,Mediocentro,España,real-sociedad-san-sebastian,2020
634431,benat-turrientes,Beñat Turrientes,Mediocentro,España,real-sociedad-san-sebastian,2020
569866,roberto-lopez,Roberto López,Mediocentro ofensivo,España,real-sociedad-san-sebastian,2020
35518,david-silva,David Silva,Mediocentro ofensivo,España,real-sociedad-san-sebastian,2020
616369,ander-barrenetxea,Ander Barrenetxea,Extremo izquierdo,España,real-sociedad-san-sebastian,2020
289272,martin-merquelanz,Martín Merquelanz,Extremo izquierdo,España,real-sociedad-san-sebastian,2020
625654,julen-lobete,Julen Lobete,Extremo izquierdo,España,real-sociedad-san-sebastian,2020
99353,portu,Portu,Extremo derecho,España,real-sociedad-san-sebastian,2020
177847,adnan-januzaj,Adnan Januzaj,Extremo derecho,Bélgica,real-sociedad-san-sebastian,2020
563137,robert-navarro,Robert Navarro,Extremo derecho,España,real-sociedad-san-sebastian,2020
351478,mikel-oyarzabal,Mikel Oyarzabal,Delantero centro,España,real-sociedad-san-sebastian,2020
349066,alexander-isak,Alexander Isak,Delantero centro,Suecia,real-sociedad-san-sebastian,2020
122155,willian-jose,Willian José,Delantero centro,Brasil,real-sociedad-san-sebastian,2020
216464,carlos-fernandez,Carlos Fernández,Delantero centro,España,real-sociedad-san-sebastian,2020
289236,jon-bautista,Jon Bautista,Delantero centro,España,real-sociedad-san-sebastian,2020
51710,sergio-asenjo,Sergio Asenjo,Portero,España,fc-villarreal,2020
229604,geronimo-rulli,Gerónimo Rulli,Portero,Argentina,fc-villarreal,2020
585323,filip-jorgensen,Filip Jørgensen,Portero,Dinamarca,fc-villarreal,2020
547248,iker-alvarez,Iker Álvarez,Portero,Andorra,fc-villarreal,2020
399776,pau-torres,Pau Torres,Defensa central,España,fc-villarreal,2020
480763,juan-foyth,Juan Foyth,Defensa central,Argentina,fc-villarreal,2020
73250,mario-gaspar,Mario Gaspar,Defensa central,España,fc-villarreal,2020
15452,raul-albiol,Raúl Albiol,Defensa central,España,fc-villarreal,2020
11111,ramiro-funes-mori,Ramiro Funes Mori,Defensa central,Argentina,fc-villarreal,2020
236956,soufiane-chakla,Soufiane Chakla,Defensa central,Marruecos,fc-villarreal,2020
356197,alfonso-pedraza,Alfonso Pedraza,Lateral izquierdo,España,fc-villarreal,2020
349599,pervis-estupinan,Pervis Estupiñán,Lateral izquierdo,Ecuador,fc-villarreal,2020
207917,alberto-moreno,Alberto Moreno,Lateral izquierdo,España,fc-villarreal,2020
65318,jaume-costa,Jaume Costa,Lateral izquierdo,España,fc-villarreal,2020
238868,ruben-pena,Rubén Peña,Lateral derecho,España,fc-villarreal,2020
527966,andrei-ratiu,Andrei Rațiu,Lateral derecho,Rumania,fc-villarreal,2020
631098,lanchi,Lanchi,Lateral derecho,España,fc-villarreal,2020
74869,francis-coquelin,Francis Coquelin,Pivote,Francia,fc-villarreal,2020
65467,vicente-iborra,Vicente Iborra,Pivote,España,fc-villarreal,2020
63494,etienne-capoue,Étienne Capoue,Pivote,Francia,fc-villarreal,2020
341277,sergio-lozano,Sergio Lozano,Pivote,España,fc-villarreal,2020
188854,manu-trigueros,Manu Trigueros,Mediocentro,España,fc-villarreal,2020
59561,dani-parejo,Dani Parejo,Mediocentro,España,fc-villarreal,2020
627287,carlo-garcia,Carlo García,Mediocentro,España,fc-villarreal,2020
175449,moi-gomez,Moi Gómez,Mediocentro ofensivo,España,fc-villarreal,2020
298983,javi-ontiveros,Javi Ontiveros,Extremo izquierdo,España,fc-villarreal,2020
548111,alex-baena,Álex Baena,Extremo izquierdo,España,fc-villarreal,2020
401922,samuel-chukwueze,Samuel Chukwueze,Extremo derecho,Nigeria,fc-villarreal,2020
405398,takefusa-kubo,Takefusa Kubo,Extremo derecho,Japón,fc-villarreal,2020
568157,yeremy-pino,Yéremy Pino,Extremo derecho,España,fc-villarreal,2020
413262,dani-raba,Dani Raba,Mediapunta,España,fc-villarreal,2020
177467,gerard-moreno,Gerard Moreno,Delantero centro,España,fc-villarreal,2020
126716,paco-alcacer,Paco Alcácer,Delantero centro,España,fc-villarreal,2020
627294,fer-nino,Fer Niño,Delantero centro,España,fc-villarreal,2020
119235,carlos-bacca,Carlos Bacca,Delantero centro,Colombia,fc-villarreal,2020
412041,alex-millan,Álex Millán,Delantero centro,España,fc-villarreal,2020
146227,jasper-cillessen,Jasper Cillessen,Portero,Países Bajos,fc-valencia,2020
227805,jaume-domenech,Jaume Doménech,Portero,España,fc-valencia,2020
398131,cristian-rivero,Cristian Rivero,Portero,España,fc-valencia,2020
288376,unai-etxebarria,Unai Etxebarria,Portero,España,fc-valencia,2020
149498,gabriel-paulista,Gabriel Paulista,Defensa central,Brasil,fc-valencia,2020
346289,mouctar-diakhaby,Mouctar Diakhaby,Defensa central,Guinea,fc-valencia,2020
294321,ferro,Ferro,Defensa central,Portugal,fc-valencia,2020
90681,eliaquim-mangala,Eliaquim Mangala,Defensa central,Francia,fc-valencia,2020
163086,cristiano-piccini,Cristiano Piccini,Defensa central,Italia,fc-valencia,2020
409273,kevin-sibille,Kevin Sibille,Defensa central,Argentina,fc-valencia,2020
221322,jose-gaya,José Gayà,Lateral izquierdo,España,fc-valencia,2020
320271,toni-lato,Toni Lato,Lateral izquierdo,España,fc-valencia,2020
423443,alex-centelles,Álex Centelles,Lateral izquierdo,España,fc-valencia,2020
623024,jesus-vazquez,Jesús Vázquez,Lateral izquierdo,España,fc-valencia,2020
367466,thierry-correia,Thierry Correia,Lateral derecho,Portugal,fc-valencia,2020
602156,guillem-molina,Guillem Molina,Lateral derecho,España,fc-valencia,2020
127189,geoffrey-kondogbia,Geoffrey Kondogbia,Pivote,República Centroafricana,fc-valencia,2020
417575,uros-racic,Uros Racic,Pivote,Serbia,fc-valencia,2020
495629,hugo-guillamon,Hugo Guillamón,Pivote,España,fc-valencia,2020
563812,christian-oliva,Christian Oliva,Pivote,Uruguay,fc-valencia,2020
372246,carlos-soler,Carlos Soler,Mediocentro,España,fc-valencia,2020
503991,yunus-musah,Yunus Musah,Mediocentro,Estados Unidos,fc-valencia,2020
63463,daniel-wass,Daniel Wass,Mediocentro,Dinamarca,fc-valencia,2020
569375,koba-koindredi,Koba Koindredi,Mediocentro,Francia,fc-valencia,2020
557149,kang-in-lee,Kang-in Lee,Mediocentro ofensivo,Corea del Sur,fc-valencia,2020
599263,vicente-esquerdo,Vicente Esquerdo,Mediocentro ofensivo,España,fc-valencia,2020
225122,goncalo-guedes,Gonçalo Guedes,Extremo izquierdo,Portugal,fc-valencia,2020
98322,denis-cheryshev,Denis Cheryshev,Extremo izquierdo,Rusia,fc-valencia,2020
328914,alex-blanco,Álex Blanco,Extremo izquierdo,España,fc-valencia,2020
263860,jason-remeseiro,Jason Remeseiro,Extremo derecho,España,fc-valencia,2020
527350,manu-vallejo,Manu Vallejo,Mediapunta,España,fc-valencia,2020
396894,maxi-gomez,Maxi Gómez,Delantero centro,Uruguay,fc-valencia,2020
265078,patrick-cutrone,Patrick Cutrone,Delantero centro,Italia,fc-valencia,2020
27389,kevin-gameiro,Kévin Gameiro,Delantero centro,Francia,fc-valencia,2020
85383,ruben-sobrino,Rubén Sobrino,Delantero centro,España,fc-valencia,2020
101118,joel-robles,Joel Robles,Portero,España,real-betis-sevilla,2020
335221,dani-martin,Dani Martín,Portero,España,real-betis-sevilla,2020
40423,claudio-bravo,Claudio Bravo,Portero,Chile,real-betis-sevilla,2020
566666,dani-rebollo,Dani Rebollo,Portero,España,real-betis-sevilla,2020
251877,carlos-marin,Carlos Marín,Portero,España,real-betis-sevilla,2020
99922,marc-bartra,Marc Bartra,Defensa central,España,real-betis-sevilla,2020
80293,aissa-mandi,Aïssa Mandi,Defensa central,Argelia,real-betis-sevilla,2020
27374,sidnei,Sidnei,Defensa central,Brasil,real-betis-sevilla,2020
62920,victor-ruiz,Víctor Ruiz,Defensa central,España,real-betis-sevilla,2020
630984,geovanni-barba,Geovanni Barba,Defensa central,España,real-betis-sevilla,2020
341227,juan-miranda,Juan Miranda,Lateral izquierdo,España,real-betis-sevilla,2020
193098,alex-moreno,Álex Moreno,Lateral izquierdo,España,real-betis-sevilla,2020
630998,jose-calderon,José Calderón,Lateral izquierdo,España,real-betis-sevilla,2020
476344,emerson-royal,Emerson Royal,Lateral derecho,Brasil,real-betis-sevilla,2020
68645,martin-montoya,Martín Montoya,Lateral derecho,España,real-betis-sevilla,2020
711638,fran-delgado,Fran Delgado,Lateral derecho,España,real-betis-sevilla,2020
342385,guido-rodriguez,Guido Rodríguez,Pivote,Argentina,real-betis-sevilla,2020
100131,william-carvalho,William Carvalho,Pivote,Portugal,real-betis-sevilla,2020
429901,paul-akouokou,Paul Akouokou,Pivote,Costa de Marfil,real-betis-sevilla,2020
263856,victor-camarasa,Víctor Camarasa,Mediocentro,España,real-betis-sevilla,2020
20506,andres-guardado,Andrés Guardado,Mediocentro,México,real-betis-sevilla,2020
203496,nabil-fekir,Nabil Fekir,Mediocentro ofensivo,Francia,real-betis-sevilla,2020
66106,sergio-canales,Sergio Canales,Mediocentro ofensivo,España,real-betis-sevilla,2020
395694,yassin-fekir,Yassin Fekir,Mediocentro ofensivo,Francia,real-betis-sevilla,2020
141834,cristian-tello,Cristian Tello,Extremo izquierdo,España,real-betis-sevilla,2020
126737,juanmi,Juanmi,Extremo izquierdo,España,real-betis-sevilla,2020
371174,diego-lainez,Diego Lainez,Extremo derecho,México,real-betis-sevilla,2020
378139,aitor-ruibal,Aitor Ruibal,Extremo derecho,España,real-betis-sevilla,2020
7663,joaquin,Joaquín,Extremo derecho,España,real-betis-sevilla,2020
630995,rodri-sanchez,Rodri Sánchez,Extremo derecho,España,real-betis-sevilla,2020
278359,borja-iglesias,Borja Iglesias,Delantero centro,España,real-betis-sevilla,2020
354741,loren-moron,Loren Morón,Delantero centro,España,real-betis-sevilla,2020
234523,antonio-sanabria,Antonio Sanabria,Delantero centro,Paraguay,real-betis-sevilla,2020
262396,unai-simon,Unai Simón,Portero,España,athletic-bilbao,2020
71570,iago-herrerin,Iago Herrerín,Portero,España,athletic-bilbao,2020
379548,jokin-ezkieta,Jokin Ezkieta,Portero,España,athletic-bilbao,2020
338285,unai-nunez,Unai Núñez,Defensa central,España,athletic-bilbao,2020
158863,inigo-martinez,Iñigo Martínez,Defensa central,España,athletic-bilbao,2020
255488,yeray-alvarez,Yeray Álvarez,Defensa central,España,athletic-bilbao,2020
591916,aitor-paredes,Aitor Paredes,Defensa central,España,athletic-bilbao,2020
61812,yuri-berchiche,Yuri Berchiche,Lateral izquierdo,España,athletic-bilbao,2020
85258,mikel-balenziaga,Mikel Balenziaga,Lateral izquierdo,España,athletic-bilbao,2020
197545,ander-capa,Ander Capa,Lateral derecho,España,athletic-bilbao,2020
96718,oscar-de-marcos,Óscar de Marcos,Lateral derecho,España,athletic-bilbao,2020
255501,inigo-lekue,Iñigo Lekue,Lateral derecho,España,athletic-bilbao,2020
178425,dani-garcia,Dani García,Pivote,España,athletic-bilbao,2020
447052,peru-nolaskoain,Peru Nolaskoain,Pivote,España,athletic-bilbao,2020
300168,mikel-vesga,Mikel Vesga,Pivote,España,athletic-bilbao,2020
192009,unai-lopez,Unai López,Mediocentro,España,athletic-bilbao,2020
610083,unai-vencedor,Unai Vencedor,Mediocentro,España,athletic-bilbao,2020
524010,oier-zarraga,Oier Zarraga,Mediocentro,España,athletic-bilbao,2020
625047,benat-prados,Beñat Prados,Mediocentro,España,athletic-bilbao,2020
447053,julen-bernaola,Julen Bernaola,Mediocentro,España,athletic-bilbao,2020
571020,oihan-sancet,Oihan Sancet,Mediocentro ofensivo,España,athletic-bilbao,2020
34601,raul-garcia,Raúl García,Mediocentro ofensivo,España,athletic-bilbao,2020
338425,alex-berenguer,Álex Berenguer,Extremo izquierdo,España,athletic-bilbao,2020
54235,iker-muniain,Iker Muniain,Extremo izquierdo,España,athletic-bilbao,2020
455349,jon-morcillo,Jon Morcillo,Extremo izquierdo,España,athletic-bilbao,2020
251848,inigo-cordoba,Iñigo Córdoba,Extremo izquierdo,España,athletic-bilbao,2020
709187,nico-williams,Nico Williams,Extremo izquierdo,España,athletic-bilbao,2020
127837,ibai-gomez,Ibai Gómez,Extremo izquierdo,España,athletic-bilbao,2020
335216,inigo-vicente,Iñigo Vicente,Extremo izquierdo,España,athletic-bilbao,2020
255508,inaki-williams,Iñaki Williams,Extremo derecho,Ghana,athletic-bilbao,2020
251897,asier-villalibre,Asier Villalibre,Delantero centro,España,athletic-bilbao,2020
197126,kenan-kodro,Kenan Kodro,Delantero centro,Bosnia y Herzegovina,athletic-bilbao,2020
226012,david-soria,David Soria,Portero,España,fc-getafe,2020
246335,ruben-yanez,Rubén Yáñez,Portero,España,fc-getafe,2020
221150,dakonam-djene,Dakonam Djené,Defensa central,Togo,fc-getafe,2020
302991,erick-cabaco,Erick Cabaco,Defensa central,Uruguay,fc-getafe,2020
71559,xabi-etxeita,Xabi Etxeita,Defensa central,España,fc-getafe,2020
248330,chema-rodriguez,Chema Rodríguez,Defensa central,España,fc-getafe,2020
236956,soufiane-chakla,Soufiane Chakla,Defensa central,Marruecos,fc-getafe,2020
583508,david-alba,David Alba,Defensa central,España,fc-getafe,2020
385396,ryan-nolan,Ryan Nolan,Defensa central,Irlanda,fc-getafe,2020
284857,marc-cucurella,Marc Cucurella,Lateral izquierdo,España,fc-getafe,2020
376514,mathias-olivera,Mathías Olivera,Lateral izquierdo,Uruguay,fc-getafe,2020
809639,emmanuel-koffi,Emmanuel Koffi,Lateral izquierdo,Ghana,fc-getafe,2020
111508,allan-nyom,Allan Nyom,Lateral derecho,Camerún,fc-getafe,2020
