team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
162,as-monaco,2025,Stade Louis-II,18525,18525,,,,,,1939,,,,Stade Louis-II,,Francia,,Césped natural,,https://www.transfermarkt.es/as-monaco/stadion/verein/162/saison_id/2025,,,105,68,,,True,True,
244,olympique-marseille,2025,Orange Vélodrome,67394,67394,,,,,,1937,,Olympique de Marseille,,Orange Vélodrome,,Francia,,Césped natural,,https://www.transfermarkt.es/olympique-marseille/stadion/verein/244/saison_id/2025,,,105,68,Orange,,True,False,
273,fc-stade-rennes,2025,Roazhon Park,29778,29778,,,,,,1912,,Stade Rennes,,Roazhon Park,,Francia,"37,30 mill. €",Césped natural,,https://www.transfermarkt.es/fc-stade-rennes/stadion/verein/273/saison_id/2025,,,105,68,,,True,False,
290,aj-auxerre,2025,Stade de l'Abbé-Deschamps,18541,18541,,,16,,,1905,,AJ Auxerre,,Stade de l'Abbé-Deschamps,,Francia,,Césped híbrido,,https://www.transfermarkt.es/aj-auxerre/stadion/verein/290/saison_id/2025,,,110,60,,,True,False,
347,fc-metz,2025,Stade Saint-Symphorien,28786,28786,,,,,,1932,,,,Stade Saint-Symphorien,,Francia,,Césped híbrido,,https://www.transfermarkt.es/fc-metz/stadion/verein/347/saison_id/2025,,,105,68,,,True,False,
415,fc-toulouse,2025,Stadium Municipal,33150,33150,,,,,,1937,,Stadt Toulouse,,Stadium Municipal,,Francia,,Césped híbrido,,https://www.transfermarkt.es/fc-toulouse/stadion/verein/415/saison_id/2025,,,105,68,,,True,False,
417,ogc-nizza,2025,Allianz Riviera,36178,,,,,,,2013,,Stadt Nizza,,Allianz Riviera,,Francia,"245,00 mill. €",Césped natural,,https://www.transfermarkt.es/ogc-nizza/stadion/verein/417/saison_id/2025,,,105,68,Allianz,,True,False,
583,fc-paris-saint-germain,2025,Parc des Princes,48583,,,,,,,,,Paris City Council,,Parc des Princes,,Francia,125 mil €,Césped híbrido,,https://www.transfermarkt.es/fc-paris-saint-germain/stadion/verein/583/saison_id/2025,,,105,68,,,True,False,
667,rc-strassburg-alsace,2025,Stade de la Meinau,32000,22000,,,26,,,1914,,Eurométropole de Strasbourg,,Stade de la Meinau,,Francia,,Césped natural,,https://www.transfermarkt.es/rc-strassburg-alsace/stadion/verein/667/saison_id/2025,,,110,68,,,True,False,
738,ac-le-havre,2025,Stade Océane,25178,,,,,,,2012,,Communauté de l’agglomération havraise,,Stade Océane,,Francia,"101,00 mill. €",Césped natural,,https://www.transfermarkt.es/ac-le-havre/stadion/verein/738/saison_id/2025,,,,,,,True,False,
826,rc-lens,2025,Stade Bollaert-Delelis,38223,38223,,,,,,1932,,Stadt Lens,,Stade Bollaert-Delelis,,Francia,,Césped natural,,https://www.transfermarkt.es/rc-lens/stadion/verein/826/saison_id/2025,,,105,68,,,True,False,
995,fc-nantes,2025,Stade de la Beaujoire,35322,,,,,,,1984,,Ville de Nantes,,Stade de la Beaujoire,,Francia,,Césped natural,,https://www.transfermarkt.es/fc-nantes/stadion/verein/995/saison_id/2025,Stade de la Beaujoire Louis Fonteneau,,105,68,,,True,False,
1041,olympique-lyon,2025,Groupama Stadium,59186,59186,,,,,,2015,,OL Groupe,,Groupama Stadium,,Francia,,Césped híbrido,,https://www.transfermarkt.es/olympique-lyon/stadion/verein/1041/saison_id/2025,,,105,68,Groupama,2030,False,False,
1082,losc-lille,2025,Decathlon Arena-Stade Pierre-Mauroy,50186,,,,76,,,2012,,Métropole Européenne de Lille,,Decathlon Arena-Stade Pierre-Mauroy,,Francia,"282,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/losc-lille/stadion/verein/1082/saison_id/2025,Grand Stade Lille Métropole,,,,,,True,False,
1158,fc-lorient,2025,Stade du Moustoir,16787,,,,,,,1959,,,,Stade du Moustoir,,Francia,,Césped híbrido,,https://www.transfermarkt.es/fc-lorient/stadion/verein/1158/saison_id/2025,,,105,70,,,False,False,
1420,sco-angers,2025,Stade Raymond-Kopa,19350,19350,,,,,,1912,,Ville d'Angers,,Stade Raymond-Kopa,,Francia,,Césped natural,,https://www.transfermarkt.es/sco-angers/stadion/verein/1420/saison_id/2025,"Stade Bessonneau (1912-1957), Stade municipal (1957-1968), Stade Jean-Bouin (1968-2017)",,105,68,,,False,False,
3911,stade-brest-29,2025,Stade Francis-Le Blé,15220,15220,,,,,,1922,,,,Stade Francis-Le Blé,,Francia,,Césped natural,,https://www.transfermarkt.es/stade-brest-29/stadion/verein/3911/saison_id/2025,,,105,68,,,False,False,
10004,paris-fc,2025,Stade Jean Bouin,19904,,,,,,,1925,,,,Stade Jean Bouin,,Francia,,Césped híbrido,,https://www.transfermarkt.es/paris-fc/stadion/verein/10004/saison_id/2025,,,,,,,False,False,
