team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url
5,ac-mailand,2020,AC Milan,75923,75923,,,304,,,,,Comune di Milano,,Giuseppe Meazza,,,"250,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/ac-mailand/stadion/verein/5/saison_id/2020
12,as-rom,2020,AS Roma,70634,70634,,,17,,,,,CONI,,Olimpico di Roma,,,,Césped natural,,https://www.transfermarkt.es/as-rom/stadion/verein/12/saison_id/2020
46,inter-mailand,2020,Inter de Milán,75923,75923,,,304,,,,,Comune di Milano,,Giuseppe Meazza,,,,Césped híbrido,,https://www.transfermarkt.es/inter-mailand/stadion/verein/46/saison_id/2020
130,parma-calcio-1913,2020,Parma,22352,22352,,,,,,,,Comune di Parma,,Ennio Tardini,,,,Césped natural,,https://www.transfermarkt.es/parma-calcio-1913/stadion/verein/130/saison_id/2020
252,genua-cfc,2020,Génova,34901,34901,,,,,,,,Comune di Genova,,Luigi Ferraris,,,,Césped natural,,https://www.transfermarkt.es/genua-cfc/stadion/verein/252/saison_id/2020
276,hellas-verona,2020,Hellas Verona,39211,39211,,,,,,,,Comune di Verona,,Marcantonio Bentegodi,,,,Césped natural,,https://www.transfermarkt.es/hellas-verona/stadion/verein/276/saison_id/2020
398,lazio-rom,2020,SS Lazio,70634,70634,,,,,,,,Città di Roma,,Olimpico di Roma,,,,Césped natural,,https://www.transfermarkt.es/lazio-rom/stadion/verein/398/saison_id/2020
410,udinese-calcio,2020,Udinese,25144,25144,,,,,,,,Udinese Calcio,,Bluenergy Stadium,,,,Césped natural,,https://www.transfermarkt.es/udinese-calcio/stadion/verein/410/saison_id/2020
416,fc-turin,2020,Torino FC,28177,28177,,,,,,,,Comune di Torino,,Olimpico Grande Torino,,,"30,00 mill. €",Césped natural,,https://www.transfermarkt.es/fc-turin/stadion/verein/416/saison_id/2020
430,ac-florenz,2020,Fiorentina,43147,43147,,,,,,,,Comune di Firenze,,Artemio Franchi,,,,Césped natural,,https://www.transfermarkt.es/ac-florenz/stadion/verein/430/saison_id/2020
506,juventus-turin,2020,Juventus de Turín,41507,41507,,,64,,,,,Juventus,,Allianz Stadium,,,"125,00 mill. €",Césped natural,,https://www.transfermarkt.es/juventus-turin/stadion/verein/506/saison_id/2020
800,atalanta-bergamo,2020,Atalanta de Bérgamo,24950,24950,,,,,,,,Atalanta BC,,New Balance Arena - Bergamo,,,,Césped natural,,https://www.transfermarkt.es/atalanta-bergamo/stadion/verein/800/saison_id/2020
1025,fc-bologna,2020,Bolonia,36462,36462,,,38,,,,,Comune di Bologna,,Stadio Renato Dall’Ara,,,,Césped natural,,https://www.transfermarkt.es/fc-bologna/stadion/verein/1025/saison_id/2020
1038,sampdoria-genua,2020,UC Sampdoria,33205,33205,,,,,,,,Comune di Genova,,Luigi Ferraris,,,,Césped natural,,https://www.transfermarkt.es/sampdoria-genua/stadion/verein/1038/saison_id/2020
1390,cagliari-calcio,2020,Cagliari,16416,16416,,,,,,,,Comune di Cagliari,,Unipol Domus,,,,Césped natural,,https://www.transfermarkt.es/cagliari-calcio/stadion/verein/1390/saison_id/2020
3522,spezia-calcio,2020,Spezia,12273,12273,,,,,,,,Comune della Spezia,,Alberto Picco,,,,Césped híbrido,,https://www.transfermarkt.es/spezia-calcio/stadion/verein/3522/saison_id/2020
4083,fc-crotone,2020,FC Crotone,11780,11780,,,5,,,,,Comune di Crotone,,Ezio Scida,,,,Césped natural,,https://www.transfermarkt.es/fc-crotone/stadion/verein/4083/saison_id/2020
4171,benevento-calcio,2020,Benevento,16867,16867,,,,,,,,Comune di Benevento,,Ciro Vigorito,,,,Césped natural,,https://www.transfermarkt.es/benevento-calcio/stadion/verein/4171/saison_id/2020
6195,ssc-neapel,2020,SSC Nápoles,54726,54726,,,19,,,,,Comune di Napoli,,Diego Armando Maradona,,,,Césped natural,,https://www.transfermarkt.es/ssc-neapel/stadion/verein/6195/saison_id/2020
6574,us-sassuolo,2020,US Sassuolo,21584,21584,,,256,,,,,Mapei S.P.A,,Mapei Stadium - Città del Tricolore,,,"15,00 mill. €",Césped natural,,https://www.transfermarkt.es/us-sassuolo/stadion/verein/6574/saison_id/2020
