team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
11,fc-arsenal,2020,Arsenal FC,60704,60704,,,152,,,,,Arsenal Holdings plc,,Emirates Stadium,,,"600,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/fc-arsenal/stadion/verein/11/saison_id/2020,,,,,,,,,
29,fc-everton,2020,Everton FC,52769,,,,,,,,,,,Hill Dickinson Stadium,,,,Césped híbrido,,https://www.transfermarkt.es/fc-everton/stadion/verein/29/saison_id/2020,,,,,,,,,
31,fc-liverpool,2020,Liverpool FC,61276,61276,,,160,,,,,Liverpool Football Club,,Anfield,,,,Césped híbrido,,https://www.transfermarkt.es/fc-liverpool/stadion/verein/31/saison_id/2020,,,,,,,,,
148,tottenham-hotspur,2020,Tottenham Hotspur,62850,62850,,,,,,,,Tottenham Hotspur,,Tottenham Hotspur Stadium,,,,Césped híbrido,,https://www.transfermarkt.es/tottenham-hotspur/stadion/verein/148/saison_id/2020,,,,,,,,,
180,fc-southampton,2020,Southampton FC,32384,32384,,,,,,,,Markus Liebherr,,St Mary's Stadium,,,"35,50 mill. €",Césped natural,,https://www.transfermarkt.es/fc-southampton/stadion/verein/180/saison_id/2020,,,,,,,,,
281,manchester-city,2020,Manchester City,55097,55097,,,,,,,,Manchester City Council,,Etihad Stadium,,,"119,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/manchester-city/stadion/verein/281/saison_id/2020,,,,,,,,,
350,sheffield-united,2020,Sheffield United,32702,32702,,,,,,,,,,Bramall Lane,,,,Césped híbrido,,https://www.transfermarkt.es/sheffield-united/stadion/verein/350/saison_id/2020,,,,,,,,,
379,west-ham-united,2020,West Ham United,62500,62500,,,,,,,,Greater London Authority,,London Stadium,,,,Césped híbrido,,https://www.transfermarkt.es/west-ham-united/stadion/verein/379/saison_id/2020,,,,,,,,,
399,leeds-united,2020,Leeds United,37890,37890,,,,,,,,Greenfield Investment Pte Ltd,,Elland Road,,,,Césped híbrido,,https://www.transfermarkt.es/leeds-united/stadion/verein/399/saison_id/2020,,,,,,,,,
405,aston-villa,2020,Aston Villa,43205,43205,,,,,,,,Aston Villa Football Club,,Villa Park,,,,Césped híbrido,,https://www.transfermarkt.es/aston-villa/stadion/verein/405/saison_id/2020,,,,,,,,,
543,wolverhampton-wanderers,2020,Wolverhampton Wanderers,31750,31750,,,,,,,,Wolverhampton City Council,,Molineux Stadium,,,,Césped híbrido,,https://www.transfermarkt.es/wolverhampton-wanderers/stadion/verein/543/saison_id/2020,,,,,,,,,
631,fc-chelsea,2020,Chelsea FC,41631,41631,,,,,,,,Chelsea Pitch Owners plc,,Stamford Bridge,,,,Césped natural,,https://www.transfermarkt.es/fc-chelsea/stadion/verein/631/saison_id/2020,,,,,,,,,
762,newcastle-united,2020,Newcastle United,52258,52258,,,,,,,,Newcastle United Football Club,,St James' Park,,,,Césped natural,,https://www.transfermarkt.es/newcastle-united/stadion/verein/762/saison_id/2020,,,,,,,,,
873,crystal-palace,2020,Crystal Palace,25486,25486,,,,,,,,Crystal Palace Football Club,,Selhurst Park,,,,Césped híbrido,,https://www.transfermarkt.es/crystal-palace/stadion/verein/873/saison_id/2020,,,,,,,,,
931,fc-fulham,2020,Fulham FC,29589,29589,,,,,,,,Fulham Football Club,,Craven Cottage,,,,Césped natural,,https://www.transfermarkt.es/fc-fulham/stadion/verein/931/saison_id/2020,,,,,,,,,
984,west-bromwich-albion,2020,West Bromwich Albion,26850,26850,,,,,,,,West Bromwich Albion Football Club,,The Hawthorns,,,,Césped híbrido,,https://www.transfermarkt.es/west-bromwich-albion/stadion/verein/984/saison_id/2020,,,,,,,,,
985,manchester-united,2020,Manchester United,74879,74879,,,,,,,,Manchester United Football Club,,Old Trafford,,,,Césped híbrido,,https://www.transfermarkt.es/manchester-united/stadion/verein/985/saison_id/2020,,,,,,,,,
1003,leicester-city,2020,Leicester City,32259,32259,,,,,,,,K Power Holdings Co Ltd,,King Power Stadium,,,"42,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/leicester-city/stadion/verein/1003/saison_id/2020,,,,,,,,,
1132,fc-burnley,2020,Burnley FC,21994,21994,,,,,,,,Turf Moor Properties Ltd,,Turf Moor,,,,Césped híbrido,,https://www.transfermarkt.es/fc-burnley/stadion/verein/1132/saison_id/2020,,,,,,,,,
1237,brighton-amp-hove-albion,2020,Brighton & Hove Albion,31876,31876,,,,,,,,The Community Stadium Limited,,AMEX Stadium,,,"121,00 mill. €",Césped natural,,https://www.transfermarkt.es/brighton-amp-hove-albion/stadion/verein/1237/saison_id/2020,,,,,,,,,
